frame_index,frame_filename,control_step,simulated_time_s,cart_position_steps,cart_velocity_steps_s,pole_angle_rad,pole_angle_deg,pole_angle_rate_rad_s,pole_angle_rate_deg_s,raw_control_steps_s,target_control_steps_s,applied_control_steps_s
109,frame_000109.png,110,0.44,1240.3689766748455,-1800.676601912789,-0.005070392671708727,-0.2905121005629716,0.06067952507648647,3.4766806897409186,-1823.856689832966,-1823.856689832966,-1823.856689832966
110,frame_000110.png,111,0.444,1233.160781134822,-1803.361520903506,-0.004830640895296069,-0.27677533564376217,0.05920391547906644,3.3921344875997526,-1822.1857774362563,-1822.1857774362563,-1822.1857774362563
111,frame_000111.png,112,0.448,1225.9430617766361,-1805.4517230105257,-0.004596759749801143,-0.2633749330992177,0.05774537367795412,3.3085661981526067,-1820.1063553491063,-1820.1063553491063,-1820.1063553491063
112,frame_000112.png,113,0.452,1218.7181452306884,-1806.972759170534,-0.004368679181968499,-0.25030687917345995,0.05630472975555098,3.2260233816177344,-1817.6369076869623,-1817.6369076869623,-1817.6369076869623
113,frame_000113.png,114,0.456,1211.488257907776,-1807.9492098091855,-0.004146325994718832,-0.23756697998277193,0.054882728205201875,3.144548694321671,-1814.7952105179968,-1814.7952105179968,-1814.7952105179968
114,frame_000114.png,115,0.46,1204.2555298074278,-1808.4047208942227,-0.0039296241788589,-0.22515088052117674,0.05348003314248277,3.064180187284028,-1811.5983582247713,-1811.5983582247713,-1811.5983582247713
115,frame_000115.png,116,0.464,1197.0219981847517,-1808.3620386569908,-0.003718495224492946,-0.2130540825029974,0.052097233247778374,2.9849515894063314,-1808.0627888897466,-1808.0627888897466,-1808.0627888897466
116,frame_000116.png,117,0.468,1189.789611081016,-1807.8430430312362,-0.003512858413184608,-0.20127196110250153,0.05073484645288544,2.9068925759946107,-1804.2043087407944,-1804.2043087407944,-1804.2043087407944
117,frame_000117.png,118,0.47200000000000003,1182.560230723002,-1806.868779856311,-0.003312631091868533,-0.1897997806478806,0.04939332438380732,2.830029023312777,-1800.0381156915407,-1800.0381156915407,-1800.0381156915407
118,frame_000118.png,119,0.47600000000000003,1175.3356367959789,-1805.4594918902137,-0.0031177289294633368,-0.17863270932408953,0.04807305657135839,2.7543832498324834,-1795.5788220100233,-1795.5788220100233,-1795.5788220100233
119,frame_000119.png,120,0.48,1168.117529594968,-1803.6346486762493,-0.0029280661570921522,-0.1677658329364702,0.046774374440673935,2.6799742448152073,-1790.840476147961,-1790.840476147961,-1790.840476147961
120,frame_000120.png,121,0.484,1160.907533058799,-1801.4129753055022,-0.0027435557927736375,-0.1571941677845981,0.04549755509021981,2.606817884833551,-1785.8365837616539,-1785.8365837616539,-1785.8365837616539
121,frame_000121.png,122,0.488,1153.7071976912896,-1798.812480115787,-0.002564109851404906,-0.14691267269341776,0.04424282487041692,2.5349271388113226,-1780.5801279544617,-1780.5801279544617,-1780.5801279544617
122,frame_000122.png,123,0.492,1146.518003373725,-1795.8504813662576,-0.0023896395408183114,-0.13691626024646925,0.04301036277153662,2.4643122621356466,-1775.083588769646,-1775.083588769646,-1775.083588769646
123,frame_000123.png,124,0.496,1139.3413620726549,-1792.5436329254267,-0.002220055444656297,-0.1271998072638451,0.04180030363008415,2.394980980369196,-1769.3589619612935,-1769.3589619612935,-1769.3589619612935
124,frame_000124.png,125,0.5,1132.178620446881,-1788.9079490089648,-0.002055267692772477,-0.11775816456545325,0.040612741162466964,2.32693866306659,-1763.4177770700387,-1763.4177770700387,-1763.4177770700387
125,frame_000125.png,126,0.504,1125.0310623573648,-1784.9588280023274,-0.001895186119832777,-0.10858616605819281,0.03944773083434369,2.260188488175975,-1757.2711148292906,-1757.2711148292906,-1757.2711148292906
126,frame_000126.png,127,0.508,1117.8999112836468,-1780.7110754019595,-0.0017397204127576281,-0.09967863718376964,0.03830529257366451,2.1947315974847914,-1750.9296239267242,-1750.9296239267242,-1750.9296239267242
127,frame_000127.png,128,0.512,1110.7863326502365,-1776.1789259076065,-0.0015887802476149246,-0.09103040276208506,0.03718541333504696,2.130567243547682,-1744.4035371448767,-1744.4035371448767,-1744.4035371448767
128,frame_000128.png,129,0.516,1103.6914360663045,-1771.3760646970516,-0.0014422754165435924,-0.08263629426342063,0.03608804952277939,2.0676929285143637,-1737.7026869038054,-1737.7026869038054,-1737.7026869038054
129,frame_000129.png,130,0.52,1096.6162774818852,-1766.3156479134602,-0.0013001159452591215,-0.07449115654100924,0.03501312927940892,2.00610453525606,-1730.836520227932,-1730.836520227932,-1730.836520227932
130,frame_000130.png,131,0.524,1089.56186126368,-1761.0103223943988,-0.001162212201665243,-0.06658985405402573,0.03396055464654921,1.9457964511706667,-1723.8141131583488,-1723.8141131583488,-1723.8141131583488
131,frame_000131.png,132,0.528,1082.5291421934394,-1755.4722446705227,-0.0010284749960700107,-0.05892727660954554,0.03293020360423687,1.8867616850292643,-1716.644184631101,-1716.644184631101,-1716.644184631101
